(49, 25, 25)
(48, 25, 25)
(47, 25, 25)
(47, 24, 25)
(47, 24, 24)
(47, 24, 23)
(47, 23, 23)
(47, 23, 22)
(47, 22, 22)
(47, 21, 22)
(47, 20, 22)
(46, 20, 22)
(45, 20, 22)
(44, 20, 22)
(44, 20, 21)
(43, 20, 21)
(42, 20, 21)
(42, 20, 20)
(41, 20, 20)
(41, 20, 19)
(40, 20, 19)
(39, 20, 19)
(38, 20, 19)
(38, 20, 20)
(37, 20, 20)
(36, 20, 20)
(36, 20, 21)
(35, 20, 21)
(35, 19, 21)
(34, 19, 21)
(34, 18, 21)
(33, 18, 21)
(32, 18, 21)
(31, 18, 21)
(31, 18, 20)
(30, 18, 20)
(29, 18, 20)
(29, 17, 20)
(28, 17, 20)
(28, 16, 20)
(28, 15, 20)
(28, 14, 20)
(27, 14, 20)
(26, 14, 20)
(25, 14, 20)
(24, 14, 20)
(23, 14, 20)
(22, 14, 20)
(21, 14, 20)
(21, 14, 19)
(20, 14, 19)
(19, 14, 19)
(19, 14, 18)
(18, 14, 18)
(17, 14, 18)
(17, 13, 18)
(16, 13, 18)
(15, 13, 18)
(15, 13, 17)
(14, 13, 17)
(13, 13, 17)
(13, 13, 16)
(13, 13, 15)
(13, 13, 14)
(13, 13, 13)
(13, 12, 13)
(12, 12, 13)
(12, 12, 12)
