(25, 25, 49)
(25, 25, 48)
(25, 25, 47)
(25, 25, 46)
(25, 25, 45)
(25, 25, 44)
(25, 25, 43)
(25, 25, 42)
(25, 25, 41)
(25, 25, 40)
(25, 25, 39)
(25, 25, 38)
(25, 25, 37)
(25, 25, 36)
(25, 25, 35)
(25, 25, 34)
(25, 25, 33)
(25, 25, 32)
(25, 25, 31)
(25, 25, 30)
(25, 25, 29)
(25, 25, 28)
(25, 25, 27)
(25, 25, 26)
(25, 25, 25)
(25, 25, 24)
(25, 25, 23)
(25, 25, 22)
(25, 25, 21)
(25, 25, 20)
(25, 25, 19)
(25, 25, 18)
(25, 25, 17)
(25, 25, 16)
(25, 25, 15)
(25, 25, 14)
(25, 25, 13)
(25, 25, 12)
(25, 25, 11)
(25, 25, 10)
(25, 25, 9)
(25, 25, 8)
(25, 25, 7)
(25, 25, 6)
(25, 25, 5)
(25, 25, 4)
(25, 25, 3)
(25, 25, 2)
(25, 25, 1)
(25, 25, 0)
(25, 24, 0)
(25, 23, 0)
(25, 22, 0)
(25, 21, 0)
(25, 20, 0)
(25, 19, 0)
(25, 18, 0)
(25, 17, 0)
(25, 16, 0)
(25, 15, 0)
(25, 14, 0)
(25, 13, 0)
(25, 12, 0)
(25, 11, 0)
(25, 10, 0)
(25, 9, 0)
(25, 8, 0)
(25, 7, 0)
(25, 6, 0)
(25, 5, 0)
(25, 4, 0)
(25, 3, 0)
(25, 2, 0)
(25, 1, 0)
(25, 0, 0)
(24, 0, 0)
(23, 0, 0)
(22, 0, 0)
(21, 0, 0)
(20, 0, 0)
(19, 0, 0)
(18, 0, 0)
(17, 0, 0)
(16, 0, 0)
(15, 0, 0)
(14, 0, 0)
(13, 0, 0)
(12, 0, 0)
(11, 0, 0)
(10, 0, 0)
(9, 0, 0)
(8, 0, 0)
(7, 0, 0)
(6, 0, 0)
(5, 0, 0)
(4, 0, 0)
(3, 0, 0)
(2, 0, 0)
(1, 0, 0)
(0, 0, 0)
