(40, 10, 10)
(40, 10, 9)
(40, 9, 9)
(40, 9, 8)
(39, 9, 8)
(39, 9, 7)
(38, 9, 7)
(37, 9, 7)
(36, 9, 7)
(36, 9, 8)
(36, 8, 8)
(35, 8, 8)
(35, 8, 7)
(34, 8, 7)
(33, 8, 7)
(32, 8, 7)
(31, 8, 7)
(30, 8, 7)
(30, 8, 6)
(30, 8, 5)
(30, 9, 5)
(29, 9, 5)
(29, 9, 6)
(28, 9, 6)
(27, 9, 6)
(26, 9, 6)
(26, 9, 5)
(25, 9, 5)
(24, 9, 5)
(23, 9, 5)
(22, 9, 5)
(21, 9, 5)
(20, 9, 5)
(20, 9, 6)
(19, 9, 6)
(18, 9, 6)
(18, 10, 6)
(18, 10, 7)
(17, 10, 7)
(16, 10, 7)
(15, 10, 7)
(15, 10, 8)
(15, 11, 8)
(15, 11, 9)
(15, 11, 10)
(15, 11, 11)
(15, 11, 12)
(15, 11, 13)
(15, 12, 13)
(14, 12, 13)
(13, 12, 13)
(12, 12, 13)
(12, 12, 12)
